Material;Texto breve de material;Alm.;Lote;Ce.;Grupo art.;TpMt;Libre utilización;UMB;Trans./Trasl.;En control calidad;Stock no libre;Bloqueado;Devoluciones;Stock bloq.EM val.;Stk.envas.lig.;Stock en tránsito;En traslado
FOI-029;Foil Interior Almendra KMF17;3101;0000034124;3000;0088MPFO;ZMAP;2.309,060;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FOI-031;Foil Interior ABedul KMF08;3101;0000034766;3000;0088MPFO;ZMAP;1.548,000;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FOI-043;Foil interior OAK  P8HB1T;3101;0000037849;3000;0088MPFO;ZMAP;138,600;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FOI-044;Foil interior EUCALYPTUS PFHA2T;3101;0000037850;3000;0088MPFO;ZMAP;105,500;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FOI-047;Foil interior TEAK  PAFB3T;3101;0000037102;3000;0088MPFO;ZMAP;1.404,900;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FOI-047;Foil interior TEAK  PAFB3T;3101;0000037182;3000;0088MPFO;ZMAP;1.911,850;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FOI-047;Foil interior TEAK  PAFB3T;3101;0000037274;3000;0088MPFO;ZMAP;2.522,362;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FOI-049;Foil interior WHITE CONCRETE PNCD3T;3101;0000037816;3000;0088MPFO;ZMAP;5.426,412;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FOI-050;Foil interior CONCRETE C. PNCD2T;3101;0000037817;3000;0088MPFO;ZMAP;3.607,458;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
L-015;Lubricante AEROSOL HD440 432cm³;3101;;3000;0075;ZMAP;58,000;UN;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
L-017;Adhesivo para PVC Duke 100 grs;3101;;3000;0075;ZMAP;3,000;UN;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
L-019;Cinta Doble Faz PP BOPP rojo 48mm x 50m;3101;;3000;0075;ZMAP;19,000;UN;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
L-022;Fieltro 70 x 10mm  rollo 10 m;3101;;3000;0075;ZMAP;23,000;UN;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
L-023;Fieltro 30 x 10 mm rollo 10m;3101;;3000;0075;ZMAP;60,000;UN;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
